name,Region
American Samoa,Polynesia
Cook Islands,Polynesia
Fiji,Melanesia
French Polynesia,Polynesia
Micronesia (FSM),Micronesia
Guam,Micronesia
Kiribati - Gilbert Islands,Micronesia
Kiribati - Line Group,Micronesia
Kiribati - Phoenix Group,Micronesia
Marshall Islands,Micronesia
Nauru,Micronesia
New Caledonia,Melanesia
Niue,Polynesia
Northern Mariana Islands,Micronesia
Palau,Micronesia
Papua New Guinea,Melanesia
Pitcairn,Polynesia
Samoa,Polynesia
Solomon Islands,Melanesia
Tokelau,Polynesia
Tonga,Polynesia
Tuvalu,Polynesia
Vanuatu,Melanesia
Wallis and Futuna,Polynesia
